month,words,docs,median,posts,wi,words_v3_ordering,pi,conv,agent,ai_total,ai_index
2025-09,7017,56,99,0,28.9,7017,0.0,0,0,0,0.0
2025-10,24309,222,94,51,100.0,24309,100.0,0,0,0,0.0
2025-11,161338,479,239,35,663.7,99948,68.6,0,0,0,0.0
2025-12,48177,85,351,31,198.2,8588,60.8,0,0,0,0.0
2026-01,14547,22,464,29,59.8,7927,56.9,0,0,0,0.0
2026-02,6427,22,219,11,26.4,2711,21.6,0,0,0,0.0
2026-03,56061,89,621,9,230.6,48378,17.6,0,0,0,0.0
2026-04,69653,90,516,16,286.5,58422,31.4,0,0,0,0.0
2026-05,371369,215,1322,9,1527.7,344620,17.6,0,2826567,2826567,1.9
2026-06,567091,165,1497,1,2332.8,560647,2.0,134161243,17253345,151414588,100.0
2026-07,354993,215,1242,0,1460.3,354993,0.0,1635464959,26234197,1661699156,1097.4
